vus,type,avg (ms),min (ms),med (ms),max (ms),p(90) (ms),p(95) (ms),count (requests),rate (requests/sec),memory (Mb)
1000,REST (blocking),714.7025547509654,202.273,736.871,947.814,871.9782,889.8036,32867,526.7442547742739,275
1000,REST (non blocking),351.0700914427292,200.647,350.051,589.363,470.8716,486.4961,41567,665.9832248876203,326
1000,gRPC,351.5182599118609,200.612625,352.169083,581.142333,471.0427586,485.7633418,41525,665.5853382665775,180

2000,REST (blocking),2282.200907110713,202.16,2483.441,2729.242,2627.367,2647.7985,34891,543.828601359997,280
2000,REST (non blocking),352.6173010656885,200.61,352.828,660.244,472.821,487.67939999999993,83045,1330.3495398299394,430
2000,gRPC,355.86861497457335,200.736083,355.8920835,683.522,476.43875390000005,490.72143355,82630,1324.222761929315,205

3000,REST (blocking),3826.572995431539,219.086,4218.081,4472.951,4367.7483999999995,4390.812800000001,36117,548.1946285972664,306
3000,REST (non blocking),352.59869560855043,200.563,352.627,624.248,472.8658,487.887,124583,1994.466728812015,550
3000,gRPC,379.6421016323721,200.72625,373.8226045,1189.103917,497.57718800000004,559.081823,120766,1933.4599732591885,235

4000,REST (blocking),5420.913514566001,800.751,5986.8785,6238.533,6139.5928,6162.15365,36798,543.3415915408101,350
4000,REST (non blocking),363.6338862069337,200.556,362.5955,898.804,484.0477,498.2177,164764,2641.097014150092,840
4000,gRPC,481.85526106307026,200.848208,423.978209,1522.583167,857.6090166000001,1008.0793547999999,143070,2242.061777883373,270

5000,REST (blocking),7017.818045475263,1337.959,7732.356,7990.709,7887.5252,7910.6502,37295,537.868207708477,380
5000,REST (non blocking),749.6652583641677,200.663,522.755,3686.14,1431.5525000000005,2061.3662499999987,160506,2570.8792132692515,895
5000,gRPC,753.8113438916109,202.449417,697.856479,1991.370167,1191.6519165,1311.643083,137885,2208.7129187399964,305

6000,REST (blocking),8335.748249274759,922.62,9465.067,9761.778,9630.9874,9656.9362,38953,548.3219775142803,405
6000,REST (non blocking),1511.0606228801373,200.679,1566.6055000000001,3634.943,3077.6335000000004,3214.1992499999997,138216,2178.110796494757,900
6000,gRPC,1108.9839999059966,207.325375,1054.023375,2168.357167,1723.799125,1887.297,128085,2017.5011709492683,350

7000,REST (blocking),9819.940348718483,877.085,11222.493999999999,12070.309,11598.8665,11686.0193,39952,547.330460478602,440
7000,REST (non blocking),3753.84656411112,571.078,2822.0035,9265.986,7791.3674,8492.29585,83792,1327.5870261323382,1000
7000,gRPC,1684.1909574021865,213.290584,1644.8751665,3806.348791,2440.4313920000004,2632.2106958,109822,1729.2383305227556,375